93,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",1
94,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330 F","",17
95,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
96,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",9
97,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
98,"DICCIONARIO MEDICO","DORLAND","603 D","",9
99,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",12
100,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",1
101,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
102,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330 F","",10
103,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
104,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370 F","",18
105,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
106,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",0
107,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
108,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",9
109,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
110,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
111,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",5
112,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
113,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
114,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",14
115,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",15
116,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",18
117,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
118,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
119,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",1
120,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
121,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",10
122,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",67
123,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",42
124,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","OO1P","",11
125,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",8
126,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",6
127,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",12
128,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",0
129,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",7
130,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",9
131,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",6
132,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",11
133,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",10
134,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",5
135,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",6
136,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",4
137,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",4
138,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",6
139,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",5
140,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",0
141,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",5
142,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",6
143,"TEORIA DEL DESARROLLO CAPITALISTA","SWEEZY, PAUL M.","320S","",8
144,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",7
145,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",17
146,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",7
147,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303 S","",13
148,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",0
149,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",16
150,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",16
151,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",17
152,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",0
153,"SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL","SUNKEY, OSVALDO","303S","",0
164,"PSICOLOGIA Y PEDAGOGIA","PIAGET, JEAN","150 P","",6
165,"FORMACION DEL ESTADO POPULISTA EN AMERICA LATINA, LA","JANNI, OCTAVIO","100 J","",2
166,"PRINCIPIOS DE ECONOMIA POLITICA Y DE TRIBUTACION","RICARDO, DAVID","330 R","",4
169,"FILOSOFIA DE LA EDUCACION, LA","KNELLER, GEORGE","100 K","",6
172,"TEORIA MARXISTA DE LA EDUCACION","SUCHODOLSKI, BOGDAN","100 S","",3
184,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657 M","",19
185,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",12
186,"PRINCIPIOS DE AUDITORIA","MEIGS, WALTER B.","657M","",23
