1381,"NUTRICION DE CERDOS Y AVES","MORGAN Y LEWIS","636M","",1
1382,"NUTRICION DE CERDOS Y AVES","MORGAN Y LEWIS","636M","",0
1383,"NUTRICION DE CERDOS Y AVES","MORGAN Y LEWIS","636M","",2
1384,"NUTRICION DE CERDOS Y AVES","MORGAN Y LEWIS","636M","",0
1385,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1386,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1387,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1388,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1389,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1390,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1391,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",3
1392,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",1
1393,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",0
1394,"INMUNOLOGIA VETERINARIA","HERBERT, W. J.","636H","",1
1395,"LECHERIA TROPICAL","VIEIRA DE SA","637V","",0
1396,"LECHERIA TROPICAL","VIEIRA DE SA","637V","",0
1397,"LECHERIA TROPICAL","VIEIRA DE SA","637V","",1
1398,"LECHERIA TROPICAL","VIEIRA DE SA","637V","",2
1399,"LECHERIA TROPICAL","VIEIRA DE SA","637V","",2
1400,"EROSION DEL SUELO Y SU CONTROL, LA","AYRES, QUINCY","631A","",0
1401,"EROSION DEL SUELO Y SU CONTROL, LA","AYRES, QUINCY","631A","",1
1402,"EROSION DEL SUELO Y SU CONTROL, LA","AYRES, QUINCY","631A","",0
1403,"EROSION DEL SUELO Y SU CONTROL, LA","AYRES, QUINCY","631A","",0
1404,"EROSION DEL SUELO Y SU CONTROL, LA","AYRES, QUINCY","631A","",0
1405,"INTRODUCCION A LA EMBRIOLOGIA","BALINSKY, B. I.","611 B","",17
1409,"INTRODUCCION A LA EMBRIOLOGIA","BALINSKY, B.I.","611 B","",0
1410,"ALIMENTACION DE LECHONES","LUCAS, I.","636L","",0
1411,"ALIMENTACION DE LECHONES","LUCAS, I.","636L","",0
1412,"ALIMENTACION DE LECHONES","LUCAS, I.","636L","",0
1413,"ALIMENTACION DE LECHONES","LUCAS, I.","636L","",0
1414,"ALIMENTACION DE LECHONES","LUCAS, I.","636L","",0
1415,"CONDICIONES DEL SUELO Y DESARROLLO DE LAS PLANTAS","RUSSELL, JOHN","631R","",1
1416,"CONDICIONES DEL SUELO Y DESARROLLO DE LAS PLANTAS","RUSSELL, JOHN","631R","",1
1417,"CONDICIONES DEL SUELO Y DESARROLLO DE LAS PLANTAS","RUSSELL, JOHN","631R","",0
1418,"CONDICIONES DEL SUELO Y DESARROLLO DE LAS PLANTAS","RUSSELL, JOHN","631R","",0
1419,"CONDICIONES DEL SUELO Y DESARROLLO DE LAS PLANTAS","RUSSELL, JOHN","631R","",1
1420,"COMPUTADORAS Y DERECHO","SERRANO, A.E.","001S","",0
1421,"COMPUTADORAS Y DERECHO","SERRANO, A.E.","001S","",0
1422,"COMPUTADORAS Y DERECHO","SERRANO, A.E.","001S","",4
1423,"COMPUTADORAS Y DERECHO","SERRANO, A.E.","001S","",2
1424,"COMPUTADORAS Y DERECHO","SERRANO, A.E.","001S","",0
1425,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",8
1426,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",0
1427,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",4
1428,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",6
1429,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100 C","",9
1430,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",4
1431,"INTRODUCCION A LA FILOSOFIA","CASAS, MANUEL","100C","",5
1432,"CEBU, EL","ALVES, ALBERTO","636A","",2
1433,"CEBU, EL","ALVES, ALBERTO","636A","",1
1434,"CEBU, EL","ALVES, ALBERTO","636A","",2
1435,"CEBU, EL","ALVES, ALBERTO","636A","",0
1436,"EXPLOTACION DEL CERDO","CARROLL, W.","636C","",4
1437,"EXPLOTACION DEL CERDO","CARROLL, W.","636C","",1
1438,"EXPLOTACION DEL CERDO","CARROLL, W.","636C","",6
1439,"EXPLOTACION DEL CERDO","CARROLL, W.","636C","",3
1440,"EXPLOTACION DEL CERDO","CARROLL, W.","636C","",3
1441,"HISTORIA DEL DERECHO ROMANO","ARANGIO, VICENTE","349A","",0
1442,"HISTORIA DEL DERECHO ROMANO","ARANGIO, VICENTE","349A","",0
1443,"ANTROPOLOGIA HISTORICA DE LA FAMILIA","SEGALEN, MARTINE","301 S","",12
1444,"CAMINO DESOLACION","McDONAL, IAN","808 M","",5
1445,"AGUAS PROFUNDAS","HOPE H., WILLIANS","813 H","",0
1446,"UNA VOZ EN LA NOCHE","KOONTZ, DEAN","813 K","",16
1447,"BIBLIOTECA DE SELECCIONES","GODDEN, RUMER","813 G","",4
1448,"A VIDA O MUERTE","KILLIAN, HANS","813 K","",4
1449,"HISTORIA DEL DERECHO ROMANO","ARANGIO, VICENTE","349A","",6
1450,"SUBDESARROLLO Y LA..., EL","PEREZ, HUMBERTO","343 P","",11
1451,"METEOROLOGIA FISICA Y CLIMATOLOGIA AGRICOLA","HERNANDEZ, LEOPOLDO","551H","",1
1452,"METEOROLOGIA FISICA Y CLIMATOLOGIA AGRICOLA","HERNANDEZ, LEOPOLDO","551H","",2
1453,"METEOROLOGIA FISICA Y CLIMATOLOGIA AGRICOLA","HERNANDEZ, LEOPOLDO","551H","",0
1455,"METEOROLOGIA FISICA Y CLIMATOLOGIA AGRICOLA","HERNANDEZ, LEOPOLDO","551H","",0
1456,"OVINOTECNIA TOMO I","HELMAN, MAURICIO","636H","",0
1457,"OVINOTECNIA TOMO I","HELMAN, MAURICIO","636H","",0
1458,"OVINOTECNIA TOMO I","HELMAN, MAURICIO","636H","",0
1459,"OVINOTECNIA TOMO I","HELMAN, MAURICIO","636H","",0
1460,"OVINOTECNIA TOMO II","HELMAN, MAURICIO","636H","",0
1461,"OVINOTECNIA TOMO II","HELMAN, MAURICIO","636H","",0
1462,"OVINOTECNIA TOMO II","HELMAN, MAURICIO","636H","",0
1463,"OVINOTECNIA TOMO II","HELMAN, MAURICIO","636H","",2
1464,"COSMOGRAFIA","FILGUERES, GONZALO","523F","",0
1465,"COSMOGRAFIA","FILGUERES, GONZALO","523F","",1
1466,"COSMOGRAFIA","FILGUERES, GONZALO","523F","",0
1467,"COSMOGRAFIA","FILGUERES, GONZALO","523F","",1
1468,"COSMOGRAFIA","FILGUERES, GONZALO","523F","",3
1469,"AVANCES EN ZOOTECNIA","YEATES, N.","636Y","",0
1470,"AVANCES EN ZOOTECNIA","YEATES, N.","636Y","",0
1471,"AVANCES EN ZOOTECNIA","YEATES, N.","636Y","",0
1472,"AVANCES EN ZOOTECNIA","YEATES, N.","636Y","",1
1473,"AVANCES EN ZOOTECNIA","YEATES, N.","636Y","",0
1474,"ZOOTECNIA GENERAL TOMO I","DUBUC, WALTER","636D","",6
1475,"ZOOTECNIA GENERAL TOMO I","DUBUC, WALTER","636D","",5
1476,"ZOOTECNIA GENERAL TOMO I","DUBUC, WALTER","636D","",7
1477,"ZOOTECNIA GENERAL TOMO I","DUBUC, WALTER","636D","",3
1478,"ZOOTECNIA GENERAL TOMO I","DUBUC, WALTER","636D","",7
1479,"ZOOTECNIA GENERAL TOMO II","DUBUC, WALTER","636D","",2
1480,"ZOOTECNIA GENERAL TOMO II","DUBUC, WALTER","636D","",4
1481,"ZOOTECNIA GENERAL TOMO II","DUBUC, WALTER","636D","",10
1482,"ZOOTECNIA GENERAL TOMO II","DUBUC, WALTER","636D","",1
1483,"ZOOTECNIA GENERAL TOMO II","DUBUC, WALTER","636D","",2
1484,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",10
1485,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",12
1486,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",21
1487,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",11
1488,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",5
1489,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342 L","",21
1490,"DERECHO CONSTITUCIONAL","LA ROCHE, HUMBERTO","342 L","VADELL HERMANOS",17
1491,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",12
1492,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",11
1493,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",12
1499,"TECNICA DEL RIEGO","THORNE, D. W.","627T","",3
1500,"TECNICA DEL RIEGO","THORNE, D. W.","627T","",1
1501,"TECNICA DEL RIEGO","THORNE, D. W.","627T","",2
1502,"TECNICA DEL RIEGO","THORNE, D. W.","627T","",2
1503,"TECNICA DEL RIEGO","THORNE, D. W.","627T","",1
1504,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",1
1505,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",2
1506,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",2
1507,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",0
1508,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",1
1509,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",3
1510,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",3
1511,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",1
1512,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",0
1513,"PRINCIPIOS Y APLICACIONES DEL RIEGO","ISRAELSEN, OLSON","627I","",4
1517,"INTRODUCCION A LA TEORIA DE LA ESTADISTICA","MOOD, ALEXANDER","519M","",23
1520,"CLASIFICACION Y CATALOGOS","LITTON, GASTON","025L","",9
1521,"CLASIFICACION Y CATALOGOS","LITTON, GASTON","025L","",8
1522,"CLASIFICACION Y CATALOGOS","LITTON, GASTON","025L","",10
1523,"CLASIFICACION Y CATALOGOS","LITTON, GASTON","025L","",6
1524,"CLASIFICACION Y CATALOGOS","LITTON, GASTON","025L","",1
1525,"HISTORIA DEL DERECHO ROMANO","VOGEL, CARLOS","349V","",0
1526,"HISTORIA DEL DERECHO ROMANO","VOGEL, CARLOS","349 V","",6
1527,"HISTORIA DEL DERECHO ROMANO","VOGEL, CARLOS","349V","",0
1528,"HISTORIA DEL DERECHO ROMANO","VOGEL, CARLOS","349 V","",5
1529,"COMPENDIO DE FILOSOFIA","LOSSADA, JESUS","100L","",1
1530,"COMPENDIO DE FILOSOFIA","LOSSADA, JESUS","100L","",4
1531,"ALGEBRA SUPERIOR","MURRAY R, SPIAGEL","512 M","",0
1541,"PRONTUARIO DE BIBLIOGRAFIA GENERAL","MILLARES, CARLO","020M","",0
1542,"PRONTUARIO DE BIBLIOGRAFIA GENERAL","MILLARES, CARLO","020M","",1
1543,"PRONTUARIO DE BIBLIOGRAFIA GENERAL","MILLARES, CARLO","020M","",0
1544,"PRONTUARIO DE BIBLIOGRAFIA GENERAL","MILLARES, CARLO","020M","",0
1545,"PRONTUARIO DE BIBLIOGRAFIA GENERAL","MILLARES, CARLO","020M","",0
1546,"TECNICAS DE LA INVESTIGACION BIBLIOGRAFICA","MILLARES, CARLO","001M","",0
1547,"TECNICAS DE LA INVESTIGACION BIBLIOGRAFICA","MILLARES, CARLO","001M","",0
1548,"TECNICAS DE LA INVESTIGACION BIBLIOGRAFICA","MILLARES, CARLO","001M","",5
1549,"TECNICAS DE LA INVESTIGACION BIBLIOGRAFICA","MILLARES, CARLO","001M","",2
1550,"TECNICAS DE LA INVESTIGACION BIBLIOGRAFICA","MILLARES, CARLO","001M","",0
1551,"INFORMACION EN LA BIBLIOTECA MODERNA, LA","LITTON, G.","025L","",3
1552,"INFORMACION EN LA BIBLIOTECA MODERNA, LA","LITTON, G.","025L","",2
1553,"INFORMACION EN LA BIBLIOTECA MODERNA, LA","LITTON, G.","025L","",1
1554,"INFORMACION EN LA BIBLIOTECA MODERNA, LA","LITTON, G.","025L","",3
1555,"ANTECEDENTES DEL DERECHO DEL TRABAJO EN VENEZUELA 1830-1928","PARRA, FERNANDO","344P","",0
1556,"ANTECEDENTES DEL DERECHO DEL TRABAJO EN VENEZUELA 1830-1928","PARRA, FERNANDO","344P","",0
1557,"ANTECEDENTES DEL DERECHO DEL TRABAJO EN VENEZUELA 1830-1928","PARRA, FERNANDO","344P","",5
1558,"ANTECEDENTES DEL DERECHO DEL TRABAJO EN VENEZUELA 1830-1928","PARRA, FERNANDO","344P","",9
1559,"ANTECEDENTES DEL DERECHO DEL TRABAJO EN VENEZUELA 1830-1928","PARRA, FERNANDO","344P","",12
1560,"QUESTION AND ANSWER","ALEXANDER, L. G.","420A","",1
1561,"QUESTION AND ANSWER","ALEXANDER, L. G.","420A","",1
1562,"QUESTION AND ANSWER","ALEXANDER, L. G.","420A","",0
1563,"ENGLISH PRONUNCIATION","LADO, FRIES","420L","",5
1564,"ENGLISH PRONUNCIATION","LADO, FRIES","420L","",4
1565,"ENGLISH PRONUNCIATION","LADO, FRIES","420L","",4
1566,"ELEMENTOS DE LINGUISTICA GENERAL","MARTINET, ANDRE","410M","",17
1567,"ELEMENTOS DE LINGUISTICA GENERAL","MARTINET, ANDRE","410M","",15
1568,"ELEMENTOS DE LINGUISTICA GENERAL","MARTINET, ANDRE","410M","",19
1569,"PRACTICA DE LAS RELACIONES PUBLICAS, LA","I.R.P.G.B.","306I","",10
1570,"PRACTICA DE LAS RELACIONES PUBLICAS, LA","I.R.P.G.B.","306I","",13
1571,"PRACTICA DE LAS RELACIONES PUBLICAS, LA","I.R.P.G.B.","306I","",8
1572,"RELACIONES PUBLICAS","BERNAYS, EDWARD","306B","",16
1573,"RELACIONES PUBLICAS","BERNAYS, EDWARD","306B","",10
1574,"FUNDAMENTOS DE LA NUEVA PEDAGOGIA","JESUALDO","370J","",4
1575,"FUNDAMENTOS DE LA NUEVA PEDAGOGIA","JESUALDO","370J","",2
1576,"FUNDAMENTOS DE LA NUEVA PEDAGOGIA","JESUALDO","370J","",6
1577,"PEDAGOGIA","MORANDO, DANTE","370M","",9
1578,"PEDAGOGIA","MORANDO, DANTE","370M","",11
1579,"PEDAGOGIA","MORANDO, DANTE","370M","",15
1580,"BIOLOGIA TOMO I","LUZ","574L","",5
1581,"BIOLOGIA TOMO I","LUZ","574L","",0
1582,"BIOLOGIA TOMO I","LUZ","574L","",0
1583,"BIOLOGIA TOMO II","LUZ","574L","",0
1584,"BIOLOGIA TOMO II","LUZ","574L","",3
1585,"BIOLOGIA TOMO II","LUZ","574L","",1
1586,"PUBLICIDAD","CRAWFORD, JHON","306C","",16
1587,"PUBLICIDAD","CRAWFORD, JHON","306C","",7
1588,"PUBLICIDAD","CRAWFORD, JHON","306C","",19
1589,"PUBLICIDAD","CRAWFORD, JHON","306C","",19
1590,"COMERCIO INTERNACIONAL","HAYRS, RICHARD","350H","",2
1591,"COMERCIO INTERNACIONAL","HAYRS, RICHARD","350H","",6
1592,"COMERCIO INTERNACIONAL","HAYRS, RICHARD","350H","",8
1596,"ELEMENTOS DE LOGICA TEORICA","HILBERT, D.","511H","",8
1597,"INTRODUCCION A LA LOGICA","YORIS, CORINA","511 Y","",14
1598,"TEORIA DE LA HACIENDA PUBLICA","MUSGRAVE, RICHARD","350M","",5
1599,"TEORIA DE LA HACIENDA PUBLICA","MUSGRAVE, RICHARD","350M","",7
1600,"TEORIA DE LA HACIENDA PUBLICA","MUSGRAVE, RICHARD","350M","",2
1601,"MOTIVACION EN PUBLICIDAD, LA","MARTINEAU, P.","659M","",2
1602,"MOTIVACION EN PUBLICIDAD, LA","MARTINEAU, P.","659M","",5
1603,"MOTIVACION EN PUBLICIDAD, LA","MARTINEAU, P.","659M","",6
1604,"AMERICA ANGLOSAJONA","WHITE, L.","910W","",0
1605,"AMERICA ANGLOSAJONA","WHITE, L.","910W","",2
1606,"AMERICA ANGLOSAJONA","WHITE, L.","910W","",1
1607,"LOGICA COMBINATORIA","CURRY, HASKELL","5116","",4
1608,"LOGICA COMBINATORIA","CURRY, HASKELL","511C","",7
1609,"MACROECONOMIA","BROOMAN, F. S.","339B","",9
1610,"MACROECONOMIA","BROOMAN, F. S.","339B","",9
1611,"ECONOMIA POSKEYNESIANA","KURIHARA, KENETH","330K","",3
1612,"ECONOMIA POSKEYNESIANA","KURIHARA, KENETH","330K","",2
1613,"ECONOMIA POSKEYNESIANA","KURIHARA, KENETH","330K","",5
1614,"PROBLEMAS DE LA TEORIA DEL PRECIO","ALLEN, CLARCK","339A","",0
1615,"PROBLEMAS DE LA TEORIA DEL PRECIO","ALLEN, CLARCK","339A","",0
1616,"PROBLEMAS DE LA TEORIA DEL PRECIO","ALLEN, CLARCK","339A","",0
1617,"CURSO DE CONTABILIDAD TOMO I","FINNEY, H. A.","657F","",15
1618,"CURSO DE CONTABILIDAD TOMO I","FINNEY, H. A.","657F","",13
1619,"CURSO DE CONTABILIDAD TOMO I","FINNEY, H. A.","657F","",18
1620,"CURSO DE CONTABILIDAD TOMO I","FINNEY, H. A.","657F","",12
1621,"CURSO DE CONTABILIDAD TOMO I","FINNEY, H. A.","657M","",13
1622,"CURSO DE CONTABILIDAD TOMO II","FINNEY, H. A.","657F","",0
1623,"CURSO DE CONTABILIDAD TOMO II","FINNEY, H. A.","657F","",0
1624,"CURSO DE CONTABILIDAD TOMO II","FINNEY, H. A.","657F","",0
1625,"CURSO DE CONTABILIDAD TOMO II","FINNEY, H. A.","657F","",0
1626,"CURSO DE CONTABILIDAD TOMO II","FINNEY, H. A.","657F","",0
1627,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
1628,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370 F","",4
1629,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
1630,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",0
1631,"FISICA  VOL. I MECANICA","ALONSO, MARCELO","530 A","",16
1632,"ANALISIS ECONOMICO DE LOS IMPUESTOS","DUE, JHON","350D","",2
1633,"ANALISIS ECONOMICO DE LOS IMPUESTOS","DUE, JHON","350D","",0
1634,"INTRODUCCION A LA ECONOMIA INTERNACIONAL","SNIDER, DELBERT","330S","",1
1635,"INTRODUCCION A LA ECONOMIA INTERNACIONAL","SNIDER, DELBERT","330S","",2
1636,"INTRODUCCION A LA ECONOMIA INTERNACIONAL","SNIDER, DELBERT","330S","",2
1639,"PROBLEMAS DE LA ECONOMIA EXTERIOR DE VENEZUELA","MAZA Z. DOMINGO","330M","",0
1640,"PROBLEMAS DE LA ECONOMIA EXTERIOR DE VENEZUELA","MAZA Z. DOMINGO","330M","",2
1641,"PROBLEMAS DE LA ECONOMIA EXTERIOR DE VENEZUELA","MAZA Z. DOMINGO","330M","",1
1642,"PERIODISMO TOMO I","DOVIFAT, EMIL","070D","",3
1643,"PERIODISMO TOMO I","DOVIFAT, EMIL","070D","",3
1644,"PERIODISMO TOMO I","DOVIFAT, EMIL","070D","",5
1645,"PERIODISMO TOMO II","DOVIFAT, EMIL","070D","",0
1646,"PERIODISMO TOMO II","DOVIFAT, EMIL","070D","",1
1647,"PUBLICIDAD EN VENEZUELA, LA.","MARTINEZ T, JOSE","070 M","",7
1648,"RELACIONES PUBLICAS","CUTLIP, SCOTT","659C","",20
1649,"RELACIONES PUBLICAS","CUTLIP, SCOTT","659C","",14
1650,"RELACIONES PUBLICAS","CUTLIP, SCOTT","659C","",23
1655,"LENGUA ITALIANA, LA","VANNINI, MARITZO","450V","",15
1656,"LENGUA ITALIANA, LA","VANNINI, MARITZO","450V","",9
1657,"HISTORIA DE LA EDUCACION","GALINO, MARIA","370G","",27
1658,"HISTORIA DE LA EDUCACION","GALINO, MARIA","370G","",23
1659,"HISTORIA DE LA EDUCACION","GALINO, MARIA","370G","",0
1660,"QUIMICA GENERAL MODERNA","BABOR, IBARZ","540 B","",32
1670,"MAQUINAS ELECTRICAS","THALER, GEORGE","621 T","",1
1690,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",14
1691,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",15
1692,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",19
1693,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",0
1694,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",7
1695,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",0
1696,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",22
1697,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",0
1698,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",8
1699,"PRINCIPIOS DE ADMINISTRACION","TERRY, GEORGE","658T","",24
1705,"GANADO LECHERO","BATH, DONALD","636B","",1
1706,"GANADO LECHERO","BATH, DONALD","636B","",2
1707,"GANADO LECHERO","BATH, DONALD","636B","",3
1708,"TECNICA QUIRURGICA EN ANIMALES Y ...","ALEXANDER, ALFONSO","636A","",4
1709,"TECNICA QUIRURGICA EN ANIMALES Y ...","ALEXANDER, ALFONSO","636A","",0
1710,"FUNDAMENTOS DE ADMINISTRACION","MUNCH, LOURDES","658M","",26
1711,"FUNDAMENTOS DE ADMINISTRACION","MUNCH, LOURDES","658M","",5
1712,"FUNDAMENTOS DE ADMINISTRACION","MUNCH, LOURDES","658M","",0
1713,"FUNDAMENTOS DE ADMINISTRACION","MUNCH, LOURDES","658M","",31
1714,"FUNDAMENTOS DE ADMINISTRACION","MUNCH, LOURDES","658M","",0
1720,"PSICOLOGIA","WHITTAKER, JAMES","150W","",21
1721,"PSICOLOGIA","WHITTAKER, JAMES","150W","",24
1722,"PSICOLOGIA","WHITTAKER, JAMES","150W","",20
1723,"VITICULTURA","WINKLER, A. J.","634W","",2
1724,"VITICULTURA","WINKLER, A. J.","624W","",1
1725,"VITICULTURA","WINKLER, A. J.","634W","",1
1726,"VITICULTURA","WINKLER, A. J.","634W","",3
1735,"PROGRAMACION BASIC","FORSYTHE, ALEXANDRA","519F","",1
1798,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1799,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",2
1800,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",2
1801,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1802,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1803,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1804,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1805,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1806,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",2
1807,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1808,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636","",3
1809,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1810,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1811,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1812,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO I","DIAZ - HUNGRIA, CARLOS","636D","",0
1813,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1814,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1815,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1816,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1817,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1818,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1819,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1820,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1821,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",1
1822,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",1
1823,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",1
1824,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",1
1825,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1826,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",2
1827,"PARASITOLOGIA DE LOS ANIMALES DOMESTICOS TOMO II","DIAZ - HUNGRIA, CARLOS","636D","",0
1828,"INTRODUCCION A LA INVESTIGACION CIENTIFICA","MARTINEZ, ESTHER","001M","",15
1829,"INTRODUCCION A LA INVESTIGACION CIENTIFICA","MARTINEZ, ESTHER","001M","",19
1830,"INTRODUCCION A LA INVESTIGACION CIENTIFICA","MARTINEZ, ESTHER","001M","",0
1831,"INTRODUCCION A LA INVESTIGACION CIENTIFICA","MARTINEZ, ESTHER","001M","",17
1832,"INTRODUCCION A LA INVESTIGACION CIENTIFICA","MARTINEZ, ESTHER","001M","",9
1835,"REDACCION TECNICA","SALAS, GUILLERMO","001S","",0
1836,"REDACCION TECNICA","SALAS, GUILLERMO","001S","",7
